Owner,Name,Status,Code
3M Company,3M Pittsboro Mine,Completed,0831-0001
AAAAcme,AAcme,Draft,0847-0001
"Alamac American Knits, LLC",Alamac American Knits,Completed,0292-0001
Alamance Country Club,Alamance Country Club,Completed,0043-0001
"American & Efird, Inc.",Plant 15,Completed,0004-0001
Anderson Creek Partners,Anderson Creek Golf Club,Completed,0772-0001
"APAC Atlantic, Thompson-Arthur",Candor Sand Plant,Completed,0865-0001
Aqua North Carolina,A Country Place,Completed,0218-0016
Aqua North Carolina,Alan Acres,Completed,0218-0017
Aqua North Carolina,Albany Acres,Completed,0218-0018
Aqua North Carolina,Allen Woods Village,Completed,0218-0019
Aqua North Carolina,Allendale,Completed,0218-0020
Aqua North Carolina,Altice Estates,Completed,0218-0021
Aqua North Carolina,Amy Acres,Completed,0218-0022
Aqua North Carolina,Applegate,Completed,0218-0013
Aqua North Carolina,Arbor Run,Completed,0218-0023
Aqua North Carolina,Armfield 1A,Completed,0218-0024
Aqua North Carolina,Armfield 1B,Completed,0218-0703
Aqua North Carolina,Arrow Springs,Completed,0218-0025
Aqua North Carolina,Ashbrook,Completed,0218-0026
Aqua North Carolina,Ashebrook Park,Completed,0218-0028
Aqua North Carolina,Ashley Hills,Completed,0218-0029
Aqua North Carolina,Ashley Woods,Completed,0218-0030
Aqua North Carolina,Auburn Hills,Completed,0218-0031
Aqua North Carolina,Autumn Acres,Completed,0218-0033
Aqua North Carolina,Autumn Crest/Crest of Carolina,Completed,0218-0034
Aqua North Carolina,Avocet,Completed,0218-0705
Aqua North Carolina,Bailey's Landing,Completed,0218-0035
Aqua North Carolina,Ballard Farm,Completed,0218-0036
Aqua North Carolina,Balls Creek,Completed,0218-0037
Aqua North Carolina,Bannertown Hills,Completed,0218-0038
Aqua North Carolina,Barclay Downs,Completed,0218-0039
Aqua North Carolina,Barrington Hills,Completed,0218-0040
Aqua North Carolina,Bay Laurel,Completed,0218-0041
Aqua North Carolina,Bay Pointe,Completed,0218-0042
Aqua North Carolina,Bayberry,Completed,0218-0043
Aqua North Carolina,Beacon Hill,Completed,0218-0721
Aqua North Carolina,Beacon Hills,Completed,0218-0044
Aqua North Carolina,Beacon Pointe,Completed,0218-0045
Aqua North Carolina,Belews Landing,Completed,0218-0048
Aqua North Carolina,Belle Meade,Completed,0218-0049
Aqua North Carolina,Belle Ridge,Completed,0218-0050
Aqua North Carolina,Berkshire Downs,Completed,0218-0051
Aqua North Carolina,Bethaven,Completed,0218-0052
Aqua North Carolina,Bethel Forest,Completed,0218-0015
Aqua North Carolina,Beverly Acres,Completed,0218-0054
Aqua North Carolina,Bexley Place,Completed,0218-0055
Aqua North Carolina,Birchfalls,Completed,0218-0056
Aqua North Carolina,Birklands,Completed,0218-0057
Aqua North Carolina,Bishops Ridge,Completed,0218-0058
Aqua North Carolina,Blue Water Cove,Completed,0218-0059
Aqua North Carolina,Bonaire,Completed,0218-0060
Aqua North Carolina,Bostian Heights,Completed,0218-0061
Aqua North Carolina,Brackenridge Estates,Completed,0218-0062
Aqua North Carolina,Bradford,Completed,0218-0063
Aqua North Carolina,Brafford Farms,Completed,0218-0064
Aqua North Carolina,Bragg Estates,Completed,0218-0006
Aqua North Carolina,Branston,Completed,0218-0065
Aqua North Carolina,Braxton Hills/Simmons Heights,Completed,0218-0066
Aqua North Carolina,Brayton Park,Completed,0218-0067
Aqua North Carolina,Brentwood,Completed,0218-0068
Aqua North Carolina,Briar Creek,Completed,0218-0069
Aqua North Carolina,Briarwood Farms,Completed,0218-0072
Aqua North Carolina,Briarwood/Kildaire Farms,Completed,0218-0070
Aqua North Carolina,Bridal Woods,Completed,0218-0071
Aqua North Carolina,Bridges,Completed,0218-0073
Aqua North Carolina,Brights Creek,Completed,0218-0074
Aqua North Carolina,British Woods,Completed,0218-0075
Aqua North Carolina,Broadhurst/Turner Downs,Completed,0218-0076
Aqua North Carolina,Brookstone,Completed,0218-0077
Aqua North Carolina,Brookwood Community System,Draft,0218-0724
Aqua North Carolina,Buffalo Shoals,Completed,0218-0080
Aqua North Carolina,Bunker Hill Estates,Completed,0218-0713
Aqua North Carolina,Cabarrus Acres,Completed,0218-0081
Aqua North Carolina,Cambridge,Completed,0218-0082
Aqua North Carolina,Camelot,Completed,0218-0083
Aqua North Carolina,Cameron Point,Completed,0218-0084
Aqua North Carolina,Candy Creek,Completed,0218-0009
Aqua North Carolina,Cane Creek,Completed,0218-0085
Aqua North Carolina,Canterbury Estates,Completed,0218-0086
Aqua North Carolina,Canterbury Trails,Completed,0218-0087
Aqua North Carolina,Carden's Creek,Completed,0218-0088
Aqua North Carolina,Cardinal Acres,Completed,0218-0089
Aqua North Carolina,Carmel Park,Completed,0218-0090
Aqua North Carolina,Castle Bay,Completed,0218-0091
Aqua North Carolina,Castlewood,Completed,0218-0092
Aqua North Carolina,Catawba Shores,Completed,0218-0093
Aqua North Carolina,Cedar Creek,Completed,0218-0094
Aqua North Carolina,Cedar Grove,Completed,0218-0095
Aqua North Carolina,Cedar Hollow,Completed,0218-0096
Aqua North Carolina,Cedar Terrace,Completed,0218-0097
Aqua North Carolina,Cedar Valley/Catawba,Completed,0218-0098
Aqua North Carolina,Cedar Valley/Gaston,Completed,0218-0099
Aqua North Carolina,Cedarwood Acres,Completed,0218-0100
Aqua North Carolina,Chacewater,Draft,0218-0718
Aqua North Carolina,Chapel View Circle,Completed,0218-0103
Aqua North Carolina,Chapelwood Acres,Completed,0218-0104
Aqua North Carolina,Chesterfield Village,Completed,0218-0106
Aqua North Carolina,Chipley Park,Completed,0218-0107
Aqua North Carolina,Clarendon Gardens,Completed,0218-0108
Aqua North Carolina,Clearview Acres,Completed,0218-0109
Aqua North Carolina,Cliftwood West,Completed,0218-0110
Aqua North Carolina,Clubview Estates,Completed,0218-0111
Aqua North Carolina,Collybrooke,Completed,0218-0717
Aqua North Carolina,Colonial Heights - Malibu,Completed,0218-0113
Aqua North Carolina,Colonial Heights - Meadowbrook,Completed,0218-0114
Aqua North Carolina,Colonial Woods,Completed,0218-0115
Aqua North Carolina,Colvard Farms,Completed,0218-0708
Aqua North Carolina,Copeland Acres,Completed,0218-0116
Aqua North Carolina,Copper Trace,Completed,0218-0117
Aqua North Carolina,Copperfield/Carmel Hills,Completed,0218-0118
Aqua North Carolina,Copperfield/Reston Woods,Completed,0218-0119
Aqua North Carolina,Coral Park,Completed,0218-0120
