agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2020-11-07 00:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 00:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 00:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 00:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 01:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 01:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 01:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 01:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 02:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 02:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 02:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 02:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 03:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 03:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 03:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 03:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 04:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 04:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 04:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 04:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 05:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 05:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 05:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 05:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 06:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 06:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 06:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 06:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 07:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 07:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 07:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 07:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 08:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 08:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 08:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 08:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 09:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 09:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 09:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 09:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 10:00,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 10:15,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 10:30,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 10:45,EST,62.3,P,1.85,P
USGS,02085070,2020-11-07 11:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 11:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 11:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 11:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 12:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 12:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 12:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 12:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 13:00,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 13:15,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 13:30,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 13:45,EST,61.0,P,1.84,P
USGS,02085070,2020-11-07 14:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 14:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 14:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 14:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 15:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 15:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 15:30,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 15:45,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 16:00,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 16:15,EST,59.7,P,1.83,P
USGS,02085070,2020-11-07 16:30,EST,59.7,P,1.83,P
